start_time,close_time,request_id,type,department,address,zipcode,status,problem_category,problem,location_type,park_district,large_crew,material_type,material_condition,description,lat,lon,case_id,parent_case_id,year,geometry
2021/01/05 16:59,,13852911,Janitorial Maintenance,Parks & Recreation,263 W NORRIS ST,19122.0,In-Progress,Janitorial Maintenance,Trash,Playground,,No,,,"https://twitter.com/crispysuds/status/1346576474493624332

263 W Norris st. (the saddest playground in Philadelphia)",39.9809302,-75.1391743,5001M00001ebQ8f,,2021,POINT (488116.8174617762 4425649.934155286)
2021/01/06 12:22,2023/03/02 03:27,13854433,Janitorial Maintenance,Parks & Recreation,200 E OLNEY AVE,19120.0,Closed,Janitorial Maintenance,Litter,Playground,,,,,"caller reporting trash piling up, because they are not enough trash cans supplied to handle all the trash, glass, fences are not secure they are bent open and people are passing through it someone could get hurt",40.0349087,-75.1186812,5001M00001ebavY,,2021,POINT (489874.5678226258 4431638.500260085)
2021/01/19 10:38,2021/01/20 16:03,13875884,Janitorial Maintenance,Parks & Recreation,721 S 8TH ST,19147.0,Closed,Janitorial Maintenance,Trash,Park,,No,,,"https://twitter.com/JulieHancher/status/1351295897448161282

My fav thing to tell 
@philly311
 and 
@PhilaStreets
 is when the trashcans at cianfranti park / 8 & fitzwater are full. Apparently pic was blurry when I took it and walked away Face with tears of joyFace with tears of joy",39.9407466,-75.1558232,5001M00001f7yCp,,2021,POINT (486687.48596345546 4421192.326274429)
2021/01/25 09:52,2022/06/30 16:14,13895496,Janitorial Maintenance,Parks & Recreation,500 WOLF ST,19148.0,Closed,Janitorial Maintenance,Trash,Park,,No,,,"There is a trash can that 2340 installed across the street from their home that they do not empty nor will the park empty. The cab has been full for three weeks. If the park will not empty this can can someone have it removed.

 Custom Fields: 
Custom fields:
Name of the park: Mifflin square park
Describe the issue: I?ve personally emptied this can multiple times. The park will not empty it and the people who chained the can to the tree will not empty it. It needs to be continuously emptied by the park or removed.
Exact location within the park: On park sidewalk attached to tree across from 2340 s 6th street
Large Crew & Heavy Machinery To Clean Up?: No",39.9200589,-75.1561426,5001M00001f9SKa,5001M00001WGu2x,2021,POINT (486656.18217224727 4418896.267750082)
2021/01/25 13:45,,13896746,Janitorial Maintenance,Parks & Recreation,1800 WASHINGTON AVE,19146.0,In-Progress,Janitorial Maintenance,Odor; Trash; Restroom,Recreation Center,,No,,,"report human feces at Chew Playground,

About a dozen large deposits of human feces on the north side of the rec  center against the wall.",39.9386726,-75.1737617,5001M00001f9Vj6,,2021,POINT (485154.4890016496 4420964.964613833)
2021/01/25 20:40,2022/03/17 05:41,13897834,Janitorial Maintenance,Parks & Recreation,BENJAMIN FRANKLIN PKWY & SPRING GARDEN ST,,Closed,Janitorial Maintenance,Trash,Other Parks,,No,Construction Material,,"Trash containers at the very top of the Rockies Steps are overflowing.

 Custom Fields: 
Custom fields:",39.9641671,-75.1799101,5001M00001f9gMQ,5001M00001b9lo1,2021,POINT (484634.899229318 4423795.624231203)
2021/02/01 17:16,,13909313,Janitorial Maintenance,Parks & Recreation,VINE ST & N 2ND ST,,In-Progress,Janitorial Maintenance,Grafitti; Trash; Litter,Park,,No,,,"Excessive amount of garbage in the park! I literally have to go out twice day to pick garbage up and it still is there! Unacceptable. It?s either the parked cars tossing garbage out on 2nd because there are no garbage cans there or the construction site lunch/building garbage not getting picked up or garbage from guy asking for money on 95 ramp and callowhill or two tents illegally pitched around the park. Last week we found a ton of used needles. The park department/city needs to something about this.

Name of the park: Vine/Latisha park
Describe the issue: Graffiti, Trash and garbage on 95 ramp, 2nd and callowhill and the vine park
Exact location within the park: All over the park and down the street
Large Crew & Heavy Machinery To Clean Up?: No",39.9556123,-75.1425212,5001M00001faTs2,,2021,POINT (487826.5574500387 4422840.360164451)
2021/02/08 08:54,2021/04/09 17:56,13920537,Janitorial Maintenance,Parks & Recreation,5601 BALTIMORE AVE,19143.0,Closed,Janitorial Maintenance,Trash,Park,,No,,,The trash cans need to be emptied inside of the park.,39.9465444,-75.2370774,5001M00001fbzJC,,2021,POINT (479747.36275389587 4421851.100573613)
2021/02/08 14:25,2021/04/09 13:48,13922079,Janitorial Maintenance,Parks & Recreation,5300 N 16TH ST,19141.0,Closed,Janitorial Maintenance,Trash,Park,,No,,,The trash is overflowing.,40.034505,-75.1495415,5001M00001fc7pZ,5001M00001ed0r8,2021,POINT (487241.6073054994 4431597.657437926)
2021/02/09 08:59,2023/10/03 12:11,13923646,Janitorial Maintenance,Parks & Recreation,500 WOLF ST,19148.0,Closed,Janitorial Maintenance,Trash,Park,7.0,No,,,Trash & construction debris at park across the street from 2348 S 6th st,39.9200589,-75.1561426,5001M00001fcIEt,,2021,POINT (486656.18217224727 4418896.267750082)
