request_id,type,status,description,confirm
14277815,Grounds Maintenance,In-Progress,"Yes all the trees are overgrown trash at fence line comes onto my property and the inlet gets full of grass and when it rains it clogs everyone?s drain


Describe the issue: Over grown trees coming through the fence so I cannot use the alleyway and this is the City of Philadelphia property
Where is the issue?: Exterior",
14414805,Grounds Maintenance,Closed,"Large Crew & Heavy Machinery To Clean Up?: No
Name of the park: Eastwick park
Exact location within the park: Lindbergh Blvd and 74th street
Describe the issue: over grown grass litter

On Mon, Sep 13, 2021, 2:59 PM Philly 311 philly311@phila.gov wrote:

 Dear Customer,

 Thank you for submitting your request through the City of Philadelphia's
 311 Contact Center. A case has been created for Parks and Rec Safety and
 Maintenance and  SLA is :  ,assigned Case # 14414138. Your request will be
 forwarded to the appropriate Department. You may check the status of your
 request using the case number provided via telephone by dialing 3-1-1 or
 215-686-8686 or email at Philly311@phila.gov.


 Thank you,

 Philly311
 Customer Support

 Take 30 seconds to let us know how we are doing;


 http://philadelphia.force.com/survey/TakeSurvey?id=a0N1600000VnqcmEAB&cId=0031M00002iY9Hs&caId=5001M00001lJnle

 Mission:
 Is to provide direct access to city government information and services
 while delivering world-class customer service.",
14304431,Grounds Maintenance,New,"May need to move vehicles to access

 Custom Fields: 
Custom fields:
Large Crew & Heavy Machinery To Clean Up?: Yes
Name of the park: Corner of Morris and Penn Street in Germantown
Describe the issue: Third request. It has been marked completed twice but no work has been done. Tree is hanging over my home and dropping debris on my roof that causes damage which I have had to pay for. Tree is on city land.
Exact location within the park: Corner of Germantown and Morris",
14011707,Grounds Maintenance,Closed,"Is it possible for the city to place city garbage cans on this corner (20th and Tasker)? These trash receptacles are hugely needed on this block. I have been putting my personal trash can out and it has been working -- eg, when there is an available trash receptacle, neighbors use it! Thanks so much for your consideration!

 Custom Fields: 
Custom fields:
Large Crew & Heavy Machinery To Clean Up?: No
Name of the park: Ralph Brooks Community garden
Describe the issue: There are two abandoned shopping carts left within this park. Furthermore, the park area on Tasker and 20th is completely filled with litter.
Exact location within the park: Second lot of the community garden that does not have planters on it",
14149225,Grounds Maintenance,Closed,"Curbside cleaning needed. Folliage accumulating curbside around the entire park. Crews used to clean it and have stopped during the pandemic. The folliage is trapping litter etc.

 Custom Fields: 
Custom fields:
Name of the park: Konrad park
Describe the issue: Accumulated folliage
Exact location within the park: Around entire perimeter
Large Crew & Heavy Machinery To Clean Up?: No",
14002442,Grounds Maintenance,In-Progress,"Debris and downed trees and limbs need to be cleaned up before everything starts blooming again.  This park is never maintained and every year it gets worse.   Neighbors report it all the time as it has become a health and safety issue.   Thank you.

 Custom Fields: 
Custom fields:
Large Crew & Heavy Machinery To Clean Up?: Yes
Name of the park: Cobbs Creek Park
Describe the issue: park clean up
Exact location within the park: Upper Darby side-Glencoe Rd, Chestnut to Walnut Sts.",
14507132,Grounds Maintenance,Closed,"Large dead dog by trash can at Cobbs Creek Pkwy and Larchwood

 Custom Fields: 
Custom fields:
Name of the park: Cobbs Creek Park
Describe the issue: Dead dog decomposing in park
Exact location within the park: Cobbs Creek Pkwy and Larchwood
Large Crew & Heavy Machinery To Clean Up?: No",
14091106,Grounds Maintenance,Closed,Caller is requesting if cameras can be installed at location due to people illegal dumping on park side at intersection.,
14038086,Grounds Maintenance,Closed,"On 6th street across from 2340 s 6th street. One of the people on this block put an aluminum can in the park but no one maintains this can. The park doesn?t clean it because it?s not theirs and the city won?t take it because it?s on the park side and the person who put the cab there refuses to clean it because they thinks it?s the cities responsibility. This can is a constant issue. Please clean the area and remove the can as people keep dumping around it. This waste has been sitting at this location for over two weeks now and the longer it sits the larger it gets.  Thank you.

 Custom Fields: 
Custom fields:
Name of the park: Mifflin square park
Describe the issue: See above and photo. Clean area and remove can.
Exact location within the park: 6th and ritner
Large Crew & Heavy Machinery To Clean Up?: No",
14414138,Grounds Maintenance,Closed,"Custom Fields: 
Custom fields:
Large Crew & Heavy Machinery To Clean Up?: No
Name of the park: Eastwick park
Exact location within the park: Lindbergh Blvd and 74th street
Describe the issue: over grown grass litter",
14223222,Grounds Maintenance,Closed,"Custom Fields: 
Custom fields:
Name of the park: Lemon Hill Playground
Describe the issue: There is a sharp metal object connected to concrete where there used to be a trash can. It?s a serious safety hazard.
Exact location within the park: West side of playground.
Large Crew & Heavy Machinery To Clean Up?: No",
14252234,Grounds Maintenance,In-Progress,"Weeds are overgrown throughout the sidewalk on Roxborough Ave., weeds sprouting throughout the hockey rink, graffiti on playground equipment and park walls, street trees are not maintained and are a danger to pedestrians and cars (my child was poked in the eye), and trash consistently throughout the park and along Roxborough Ave.

 Custom Fields: 
Custom fields:
Name of the park: Kendrick Recreational Center
Describe the issue: Weeds are overgrown throughout the sidewalk on Roxborough Ave., weeds sprouting throughout the hockey rink, graffiti on playground equipment and park walls, street trees are not maintained and are a danger to pedestrians and cars (my child was poked in the eye), and trash consistently throughout the park and along Roxborough Ave.
Exact location within the park: 5800 Ridge Ave and 400 block of Roxborough Ave
Large Crew & Heavy Machinery To Clean Up?: Yes",
14981449,Grounds Maintenance,Closed,"This is a systemic issue that needs to be addressed by parks and Rec

 Custom Fields: 
Custom fields:
Large Crew & Heavy Machinery To Clean Up?: Yes
Name of the park: Capitolo
Describe the issue: The capitolo garden gets deliveries of mulch that block the sidewalk. This is the second delivery in 3 weeks that has not been moved into the garden in a timely manner. They also put out their trash to be collected on the same corner more than 24 hours before pickup, creating an even smaller pathway to get through. This is a hazard and an ADA violation.
Exact location within the park: NW Corner of park, SE corner of 10 and federal",
14920978,Grounds Maintenance,Closed,"Vine and 2nd street Park

 Custom Fields: 
Custom fields:
Name of the park: Vine and 2nd st park
Describe the issue: Penn Dot had a crew come in and they ripped trees out and ivy and left the park a mess. I believe it has to do with the I95 work but no one said a word to the homeowners in the area. Sadly they Removed nice trees that have been there of a long time and ivy that covered up the gross wall but didn?t remove any of the trash that the homeless left in those hidden areas and the garbage trashed the park. On top of that they left their water and soda containers under trees. What a mess. So disappointed in Philadelphia. Our area is literally a mess. Between the new construction on 2nd, the digging up of the sidewalk and the goop that they left to cover the hole and now our park we take care with money out of pocket. I?m so upset!
Exact location within the park: Vine street latisha and 2nd street park
Large Crew & Heavy Machinery To Clean Up?: No",
14928749,Grounds Maintenance,Closed,"Customer states that maintenance work was done, but the debris was left in the park area. Children play in that area and customer would like department to clean up the debris",
14993465,Grounds Maintenance,Closed,"caller states baseball field was cleaned off, tree debris was left on side of her home for months, spoke to spoke to staff Fran,",
15089913,Grounds Maintenance,In-Progress,"Why can't this park get regular maintenance. Park includes tennis courts which are overgrown with weeds and passion sumac

 Custom Fields: 
Custom fields:
Large Crew & Heavy Machinery To Clean Up?: No
Name of the park: Northwood Tennis courts and park
Describe the issue: Along the one side,  4828, a lot of cut down trees and overgrown weeds. The owner of 4830 Rutland tried cutting down trees etc and threw those debris in to of already overgrown weeds and trees. There is poison ivy and sumac all through
Exact location within the park: 4800 to 4828 Rutland St",
14944817,Grounds Maintenance,Closed,"giant pile of mulch in front of garden completely blocking sidewalk

 Custom Fields: 
Custom fields:
Is the trash in the bike lane, street or the sidewalk?: Sidewalk
Large Crew & Heavy Machinery To Clean Up?: No
Is there commercial hazardous waste?: No",
15065060,Grounds Maintenance,In-Progress,"Need clean up crew.  Lots of brush.   / weeds.    Tree trimming crew for a week or more.

 Custom Fields: 
Custom fields:
Large Crew & Heavy Machinery To Clean Up?: Yes
Name of the park: Fairmount park side
Describe the issue: This entire block has overgrown trees. Many dead trees lots of debris along the park side of the highway I been living here since 1957. It?s been getting worse each year.  These trees haven?t been trimmed in 15 plus years.  I see Fairmount park trucks driving by each day nobody can clean up.   This is a highway it should have a priority put on this. Thank you Leon.
Exact location within the park: 7500 Henry ave block from wigard ave to wises mill rd",
15112334,Grounds Maintenance,In-Progress,"Massive group of people with large charcoal grills at Devil?s Pool. With the dry weather, that?s asking for a fire to start in the park. Trash will presumably be left behind",
14776685,Grounds Maintenance,In-Progress,"In the past if a tree fell from the easement on to our property we had to pay for the damage and removal. I?m just requesting the easement ti get taken care of.

 Custom Fields: 
Custom fields:
Large Crew & Heavy Machinery To Clean Up?: Yes
Name of the park: City easement park along Northeast Avenue
Describe the issue: This park is designated a city easement that the local neighborhoods could use. CLIP hasn?t done a dead/fallen tree removal or cleanup in years. You can?t walk through without tripping over a tree or the trash accumulated by people throwing trash out their cars, please help, thank you.
Exact location within the park: Along 10200 Northeast Ave between Foster street and Selmer road",
14746834,Grounds Maintenance,Closed,"Perhaps some signage directing users of the pavilion to use the charcoal pit, or a sign on the pit itself. A lot of people don't even know what it's for.

 Custom Fields: 
Custom fields:
Large Crew & Heavy Machinery To Clean Up?: No
Name of the park: Burholme Park
Describe the issue: The charcoal pit is full and people have started dumping used charcoal and burnt wood onto the grass beside the pavilion. This will likely get worse as the nicer weather approaches.
Exact location within the park: Pavilion along Central Ave.",
16064422,Grounds Maintenance,New,"Seems 1 dude has been living in the center of the Poplar DIY Skate Park. The skaters try to keep the area clean but he often leaves his trash and one time we found a needle and crack pipe. Kids skate here so it?s a little discomforting.

 Custom Fields: 
Custom fields:
Is there a structure?: No
Time of day individuals were seen at encampment?: Morning
Number of Individuals?: 1
Are there individuals living on location: Yes
Day Observed?: July 31, 2023
Where on the property is the structure?: He uses a large food delivery box & bicycle.
What type of structure?: Other",
15799292,Grounds Maintenance,In-Progress,"Broken, inaccessible and non ada approved curbs have cement breaks throughout the park


Name of the park: Malcom X Park
Describe the issue: From wear over the years from tree debris and leaves, many of the curbed sidewalks are totally destroyed. I have many more photos of the spots if needed.
Exact location within the park: There are too many broken curbs throughout the park to name just one
Large Crew & Heavy Machinery To Clean Up?: Yes",
16374514,Grounds Maintenance,Closed,"Maintenance does a really good job keeping the park manicured and free of graffiti. If a little more attention were placed on things other than the mowing, it would make a noticeable difference. The park is used every weekend for softball games and community gatherings. It's worth keeping this beautiful. I'd also like to see no littering signs. The trees need trimming and I'd like to see solar lights illuminate the trees to give the neighborhood a sense of pride. 
Is there a neighborhood clean up organized on a yearly basis?
Many thanks, and I look forward to joining forces for a better philly.

 Custom Fields: 
Custom fields:
Large Crew & Heavy Machinery To Clean Up?: Yes
Name of the park: Vogt Park
Describe the issue: The cement fence wall along Knorr Street is crumbling. There is a build up of debris down the entire street. Its ugly and if not addressed could cause more impacting problems down the road. We also need more trashcans at the gateway entrances of the park. The trash overflows and the metal cans have rotten bottoms.
Exact location within the park: 6800 block of Knorr Street",
16464017,Grounds Maintenance,In-Progress,"Name of the park: Mifflin Square, Park
Describe the issue: Could we please get rid of the bench/storage area? It is now just full of trash and a stash spot used for people selling drugs and doing drugs in the park.
Exact location within the park: Center of the park facing Wolf Street
Large Crew & Heavy Machinery To Clean Up?: No",
15912839,Grounds Maintenance,Closed,"I put in a request in a few weeks back and it was ignored. Park needs to be mowed and cared for. Last mowed April 27th and today is the 19th. That?s much longer than 2 weeks the minimum mow time per the city. Also graffiti on wall in park need to be cleared. I put two requests in for that.

Name of the park: Vine street and 2nd park
Describe the issue: Lawn need to be mowed minimum every two weeks the avoid ticks, lack of dog waste pick up because can?t find it and the pre schoolers can?t play in park.
Exact location within the park: The entire park
Large Crew & Heavy Machinery To Clean Up?: No",
16805240,Grounds Maintenance,New,"people are not cleaning up after their dogs, customer is requesting a sign to clean up their dog waste",
