OBJECTID,PUBLIC_NAME,PARENT_NAME,NESTED,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_PROG_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
1,William H (Billy) Markward Memorial Playground,Schuylkill River Park,Y,William H. (Billy) Markward Memorial Playground,Markward,Joseph O'Connor Memorial Pool,1903,400 S LECOUNT ST,19146,"400-16 S TANEY ST;338-46 S 26TH ST;300 S 26TH ST;2601-13 SOUTH ST","400-16 S TANEY ST;577 S TANEY ST;Pine & Taney;338-46 S 26TH ST;300 S 26TH ST;2620 Pine St;350 S 26th St;2601-13 SOUTH ST, 26th & South;570 S 26TH ST",3.75279089,RECREATION_CENTER,RECREATION_SITE,11,"5;7",2,"9;17",Y,Y,Y,Markward site includes the O'Connor Pool,25871.44140625,1094.40263919397
2,Schuylkill Banks,Schuylkill Banks,N,,Schuylkill Banks,,2794,2425 CHESTNUT ST,19103,"2500 SPRING GARDEN ST;2451 MARKET ST;2369-71 JFK BLVD; 2448-52 CHERRY ST;2331 CHERRY ST;2345-49 RACE ST;2427A-31 WALNUT ST;2433-41 WALNUT ST;2518-26 L","2500 SPRING GARDEN ST;2451 MARKET ST;2369-71 JFK BLVD; 2448-52 CHERRY ST;2331 CHERRY ST;2345-49 RACE ST;2427A-31 WALNUT ST;2433-41 WALNUT ST;2518-26 LOCUST ST;",14.7172547,BREEZEWAY_GREENWAY,GREENWAY_PARKWAY,"9;11","5;7","2;5","9;17",Y,Y,N,Bill 160113 (4/14/16) -South of South St Bridge,101477.171875,9300.67027508346
3,Schuylkill River Park,Schuylkill River Park,N,,Schuylkill River Park,,2992,300 S 25TH ST,19103,"400-16 S TANEY ST, 338-46 S 26TH ST, 300 S 26TH ST, 302-22 S 25TH ST, 2500R-06 LOCUST ST","Pine & Taney, 400-16 S TANEY ST, 338-46 S 26TH ST, 300 S 26TH ST, 302-22 S 25TH ST, 2500R-06 LOCUST ST, 400 S LECOUNT ST",3.94782599,NEIGHBORHOOD_PARK,RECREATION_SITE,11,"5, 7",2,9,Y,Y,N,,27216.90625,799.048353772286
4,Frankford Boat Launch,Frankford Boat Launch,N,Frankford Boat Launch,Frankford Launch,"PA Fish & Boat;Frankford Arsenal Boat Launch",3090,5625 TACONY ST,19137,5625 TACONY ST,5650 Tacony St,11.36972953,BOAT_SITE,BOATHOUSE_LAUNCH,6,2,6,15,Y,Y,N,,78513.8359375,1585.3597159602
5,Robert A Borski Park,Robert A Borski Park,N,Robert A. Borski Park,Borski,"Orthodox Street Parcel; Bridesburg Riverfront Park; Congressman Robert A Borski Jr Park",3091,3101 ORTHODOX ST,19137,3101 ORTHODOX ST,3101 ORTHODOX ST,10.56733676,NEIGHBORHOOD_PARK,MISC_PARK,6,2,6,15,Y,Y,N,"Officially acquired from PAID in 10/2019. Doc 53586794; LWCF Restrictions; In Construction",72921.2578125,1304.88066789402
6,Wissahickon Valley Park,Wissahickon Valley Park,N,Wissahickon Valley Park,Wissahickon Valley Park, ,1357,,19128,"5000 HERMIT LN;9001 LYKENS LN;950 NORTHWESTERN AVE;854 MANATAWNA AVE;900 WISES MILL RD;5800,7050,8601 WISSAHICKON AVE","9001 LYKENS LN, 950 NORTHWESTERN AVE",1683.46408689,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,3,4,"4;8","5;14;39",Y,Y,N,,11641051.9921875,91233.2847582858
7,West Fairmount Park,West Fairmount Park,N,West Fairmount Park,West Fairmount Park,,1714,,19131,3401 W GIRARD AVE,3401 W GIRARD AVE,1036.24730203,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,7,5,"3;4","16;19",Y,Y,N,,7152694.74609375,70633.2414886657
8,Pennypack Park,Pennypack Park,N,Pennypack Park,Pennypack Park,"Little City (Rhawn/Holmhurst); Crystal Spring (Rhawn/Rowland)",1651,,19152,8300 FRANKFORD AVE,8300 FRANKFORD AVE,1353.25928959,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,"1;2",1,"6;10","7;8;15",Y,Y,N,,9362141.0078125,50417.2570294007
9,East Fairmount Park,East Fairmount Park,N,East Fairmount Park,East Fairmount Park, ,1713,,19121,"2500 SPRING GARDEN ST;3300 N 33RD ST","2500 SPRING GARDEN ST;3300 N 33RD ST",450.99245903,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,"3;8;9",5,4,"5;9;22;39",Y,Y,N,,3112516.2890625,34217.6929670641
10,Tacony Creek Park,Tacony Creek Park,N,Tacony Creek Park,Tacony Creek Park,Brookwood Park,1961,,19120,,,200.41837515,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,5,3,"7;8;9","2;15;24;25;35",Y,Y,N,,1385039.19921875,19006.3578100777
