dist_name,spec,n_events,prop_excitation_mean,alpha_mean,alpha_p_pos,a_0_mean,w_mean_pop_density,w_mean_med_inc_avg,w_mean_lep_density,w_mean_edu_hs_avg,w_mean_ndvi_mean_4yr,w_mean_RLD,w_mean_RMD,w_mean_RHD,w_mean_use_com,w_mean_use_civ,w_mean_I,w_mean_T,w_mean_GW,w_mean_vac_area,w_mean_landcare_area,w_mean_alloc_avg_d_cnt,w_mean_alloc_avg_s_cnt,w_mean_unique_device_ratio_aw,w_mean_betweenness_avg_w,w_mean_pagerank_avg_w,beta_mean,gamma_mean,loglik_mean,sigmax_2_mean,a_0_lo,a_0_hi,status,error,runtime_sec,offset_coef_mean,offset_coef_lo,offset_coef_hi,corrected_level_mean
River Wards,baseline,10767,0.8026947379112244,0.9992818832397461,1.0,0.00987773947417736,0.10512302815914154,0.011245420202612877,-0.0781748965382576,-0.011075585149228573,0.011704952456057072,0.08615908771753311,0.02071104384958744,0.37415745854377747,-0.025434156879782677,-1.8810425996780396,-0.18285642564296722,0.18434752523899078,0.1790359914302826,-0.39023610949516296,-0.4033985733985901,0.2914523184299469,-0.00025556000764481723,0.08238222450017929,-0.17475871741771698,-0.030777597799897194,39.293392181396484,11.929740905761719,54359.515625,6.988003588048741e-05,-0.451761394739151,0.4839407801628113,fit,,66.9,,,,-4.6459823
River Wards,offset_fixed,10767,0.8026033639907837,0.9992817640304565,1.0,-0.021761329844594002,-0.054280608892440796,0.09476719051599503,0.014035799540579319,-0.08322016894817352,-0.110476553440094,0.19897834956645966,-0.07946769148111343,0.6481797099113464,-0.13657888770103455,-1.3739697933197021,-0.0078440485522151,-0.7616450786590576,0.22466783225536346,-0.34618034958839417,-0.17099180817604065,1.5710784196853638,-0.030991652980446815,-0.13400118052959442,-0.0858069360256195,0.017048640176653862,39.29318618774414,11.929055213928223,54370.74609375,6.987363303778693e-05,-0.5252930521965027,0.49532178044319153,fit,,55.3,,,,-4.6459823
River Wards,offset_free,10767,0.8048072457313538,0.9993081092834473,1.0,0.029500598087906837,0.004154370632022619,0.06433555483818054,-0.021325193345546722,-0.0519929900765419,-0.0685528889298439,0.16413311660289764,-0.04795202612876892,0.5601192116737366,-0.09977065026760101,-1.5750004053115845,-0.06237375736236572,-0.38780903816223145,0.2030739188194275,-0.3645108640193939,-0.2794080674648285,1.1355068683624268,-0.03803024813532829,-0.05890339985489845,-0.11599885672330856,0.006956710480153561,39.23249053955078,11.951986312866211,54374.5625,7.03511104802601e-05,-0.4829292893409729,0.5708791613578796,fit,,54.9,0.6405763030052185,0.4665447175502777,0.8022635579109192,-4.6459823
North Delaware,baseline,4163,0.6991294026374817,0.9940445423126221,1.0,-0.40596455335617065,0.049504559487104416,-0.16070672869682312,0.010940671898424625,0.045466337352991104,-0.060662344098091125,0.08033234626054764,0.006603826768696308,-0.2890545129776001,0.026075681671500206,-0.24223938584327698,0.005949931684881449,0.3421538770198822,-0.017626194283366203,0.43290528655052185,0.8429262638092041,-0.6393454074859619,0.1561739295721054,0.15747185051441193,0.056234024465084076,0.18133865296840668,20.919429779052734,6.296965599060059,16004.5849609375,6.197422044351697e-05,-0.9240650534629822,0.12607936561107635,fit,,24.3,,,,-5.8448715
North Delaware,offset_fixed,4163,0.699393630027771,0.9940367341041565,1.0,-0.373695433139801,-0.10016286373138428,-0.2746078372001648,-0.04997587576508522,0.031510960310697556,-0.33818355202674866,-0.2594210207462311,-0.16559408605098724,-0.27846646308898926,-0.08815653622150421,-0.25304943323135376,-0.2104685753583908,0.43197333812713623,-0.03982250764966011,0.3235839307308197,0.9718495011329651,0.47071537375450134,0.22458897531032562,-0.003310062224045396,0.1707894206047058,0.01768719218671322,20.916379928588867,6.295269966125488,15990.7578125,6.195355672389269e-05,-0.9107526540756226,0.17781545221805573,fit,,22.4,,,,-5.8448715
North Delaware,offset_free,4163,0.6974403262138367,0.9942496418952942,1.0,-0.3903193175792694,-0.009849874302744865,-0.21011346578598022,-0.014977785758674145,0.05388530716300011,-0.16670900583267212,-0.042134132236242294,-0.06460485607385635,-0.26376718282699585,-0.0376352034509182,-0.22645507752895355,-0.05815259367227554,0.35239994525909424,-0.018294353038072586,0.376840740442276,0.868043065071106,-0.13970211148262024,0.11845714598894119,0.0906730443239212,0.10530869662761688,0.11265309154987335,20.901512145996094,6.2946553230285645,16018.7490234375,6.213020969880745e-05,-0.9187987446784973,0.1680154949426651,fit,,21.7,0.4265443682670593,0.29343733191490173,0.5600529909133911,-5.8448715
Lower Far Northeast,baseline,719,0.4492343068122864,0.5803317427635193,1.0,-0.22189180552959442,0.580466628074646,-0.14113564789295197,-0.3467991352081299,0.34421777725219727,0.1280583292245865,-0.054677195847034454,-0.07884950190782547,-0.07317548990249634,0.02625894546508789,-0.0801612064242363,0.02549510821700096,-0.16555513441562653,-0.2257213592529297,0.3353712558746338,0.24279369413852692,0.06843559443950653,-0.1626853197813034,0.06092550605535507,-0.05258994176983833,-0.20208995044231415,5.76545524597168,1.3566867113113403,561.6941528320312,3.8845621020300314e-05,-0.8492541909217834,0.4223546087741852,fit,,12.2,,,,-7.409498
Lower Far Northeast,offset_fixed,719,0.4497174322605133,0.5798847675323486,1.0,-0.3104249835014343,0.23310257494449615,-0.20524124801158905,-0.012385879643261433,0.3901125490665436,0.007261363323777914,-0.14670482277870178,-0.09180689603090286,-3.5749376365856733e-06,-0.043065041303634644,-0.014234648086130619,0.045287635177373886,-0.22114071249961853,-0.1999789923429489,0.4226095974445343,0.3060360550880432,0.5179363489151001,-0.11620009690523148,-0.1933731734752655,-0.06490775942802429,-0.2985312342643738,5.754934310913086,1.3522722721099854,557.1891479492188,3.868793646688573e-05,-0.9644816517829895,0.36123403906822205,fit,,8.8,,,,-7.409498
Lower Far Northeast,offset_free,719,0.44793981313705444,0.5757796764373779,1.0,-0.2667098641395569,0.4852152466773987,-0.18589970469474792,-0.2451227754354477,0.35957932472229004,0.10196735709905624,-0.09516901522874832,-0.08579996228218079,-0.058163441717624664,0.0029920039232820272,-0.061051174998283386,0.04066750407218933,-0.16506272554397583,-0.21594727039337158,0.32241958379745483,0.24598756432533264,0.4311940670013428,-0.32333627343177795,-0.07848923653364182,-0.06549791246652603,-0.23557554185390472,5.748258113861084,1.3516103029251099,562.4246215820312,3.874718822771683e-05,-0.9090590476989746,0.4119274616241455,fit,,9.2,0.35200703144073486,0.018959112465381622,0.674845814704895,-7.409498
Central,baseline,13596,7.575609197374433e-05,0.20122942328453064,1.0,-1.278786540031433,0.1347568780183792,-0.10366849601268768,0.14385782182216644,0.23866631090641022,-0.039442211389541626,-0.8053717017173767,-0.17774924635887146,-0.028620364144444466,-0.35236820578575134,-3.514556407928467,-0.4194077253341675,0.9584636688232422,-0.6826251149177551,0.526968777179718,-2.7739439010620117,1.0423423051834106,-1.1996095180511475,-0.1739141196012497,-0.13476353883743286,-0.06312492489814758,0.0005805205437354743,1.2693520784378052,30685.056640625,0.21218906342983246,-1.5412472486495972,-1.009262204170227,fit,,108.1,,,,-5.544377
