dist_name,spec,nt_col,n_cbg,T_total,NT_total,raw_level,a_NT_mean,a_T_mean,beta_mean,beta_lo,beta_hi,sigma_R_mean,sigma_T_mean,corrected_level_mean,corrected_level_sd,status,error,runtime_sec
River Wards,a,NT_curated,67,10630,6342,-4.318747378601855,-4.7224913,-4.357582,0.5782207,0.40670222,0.75461483,0.95591384,0.8392337,-4.6459823,0.14218163,fit,,3.8
River Wards,b,NT_all,67,10630,61440,-4.318747378601855,-2.384598,-4.330514,0.90529454,0.75228703,1.0771419,0.88592774,0.5971276,-5.102036,0.10720089,fit,,2.5
North Delaware,a,NT_curated,75,4143,5463,-5.286835859063883,-4.853197,-5.4659686,1.0344533,0.81089073,1.2713772,0.8606538,0.78437835,-5.8448715,0.11043666,fit,,2.7
North Delaware,b,NT_all,75,4143,47601,-5.286835859063883,-2.6298487,-5.451868,1.071751,0.9053251,1.2543833,1.0003324,0.6406402,-6.1021805,0.1016249,fit,,2.2
Lower Far Northeast,a,NT_curated,47,732,5509,-7.5956828567954995,-5.182628,-7.381019,0.72614956,0.5330212,0.9190225,0.96198887,0.5896559,-7.409498,0.10307233,fit,,3.0
Lower Far Northeast,b,NT_all,47,732,25717,-7.5956828567954995,-3.68048,-7.39139,0.7995708,0.65268093,0.97582597,0.97795326,0.4857044,-7.036675,0.093811415,fit,,2.4
Central,a,NT_curated,143,13562,14475,-5.74552981957837,-5.5781927,-5.9632573,1.1702904,1.0088521,1.32487,0.9220279,0.9596086,-5.544377,0.08449463,fit,,2.9
Central,b,NT_all,143,13562,101969,-5.74552981957837,-3.6957226,-5.9742093,1.2437781,1.132169,1.3624499,1.0141251,0.7117885,-5.4034853,0.05599678,fit,,2.6
University Southwest,a,NT_curated,83,5451,5756,-5.461934002835701,-5.0234847,-5.471281,1.2473025,1.0786908,1.4400057,1.3988572,1.0905921,-5.715662,0.13209563,fit,,2.9
University Southwest,b,NT_all,83,5451,51574,-5.461934002835701,-2.919343,-5.456544,1.193615,1.0691501,1.3139826,1.6099924,0.81253636,-5.8328104,0.09099139,fit,,2.3
Upper Northwest,a,NT_curated,79,5116,6696,-4.926067481266416,-4.4591475,-5.0637975,1.2089052,0.9113588,1.5224198,0.68386525,0.9450511,-5.982321,0.16435249,fit,,2.9
Upper Northwest,b,NT_all,79,5116,48420,-4.926067481266416,-2.468906,-5.0845623,1.3433827,1.112082,1.571498,0.7407717,0.738761,-6.1154785,0.13430782,fit,,2.2
Upper North,a,NT_curated,115,9639,9015,-4.524538213642824,-4.4386916,-4.6098886,0.5175139,0.34385496,0.7027673,0.72567904,0.8191915,-5.01319,0.11113834,fit,,2.8
Upper North,b,NT_all,115,9639,68836,-4.524538213642824,-2.3819342,-4.6234794,0.7778741,0.6037401,0.9627499,0.61186767,0.72356886,-5.2874203,0.10949563,fit,,2.2
South,a,NT_curated,111,13714,14284,-4.723396218448444,-4.479193,-4.614251,0.92966473,0.7683876,1.0928853,0.7119971,0.6547721,-5.302851,0.091303125,fit,,3.2
South,b,NT_all,111,13714,85358,-4.723396218448444,-2.6328106,-4.577086,1.1553059,1.0324628,1.2757185,0.718698,0.4656872,-5.274563,0.057900127,fit,,2.4
North,a,NT_curated,113,15840,8872,-4.277365313861428,-4.745008,-4.2606874,0.6657226,0.5194203,0.8575365,0.7258779,0.6613833,-4.576576,0.077656195,fit,,2.9
