,count,variable
WP,103186,type
SNP,24395,type
AEL,18156,type
C20,8931,type
SLA,6176,type
C13,5631,type
SLF,5528,type
MAP,4809,type
CCP,4527,type
SM,2866,type
PTC,2661,type
OTH,2644,type
PTF,2602,type
PVT,1899,type
D30,1474,type
TCB,1171,type
SLFT,1098,type
TP,960,type
PDT,915,type
SLAT,658,type
1.0,125184,nlumin
,68593,nlumin
0.0,6913,nlumin
2.0,2315,nlumin
14.0,16,nlumin
4.0,8,nlumin
3614.0,4,nlumin
320.0,2,nlumin
138.0,1,nlumin
,68593,lum_size
1004.0,29943,lum_size
1002.0,29282,lum_size
1003.0,18304,lum_size
1000.0,16394,lum_size
0.0,5975,lum_size
1006.0,5043,lum_size
84.0,4095,lum_size
100.0,2766,lum_size
1005.0,2515,lum_size
