dist_name,spec,nt_col,n_cbg,T_total,NT_total,raw_level,a_NT_mean,a_T_mean,beta_mean,beta_lo,beta_hi,sigma_R_mean,sigma_T_mean,corrected_level_mean,corrected_level_sd,status,error,runtime_sec
River Wards,sl,NT_curated,67,10630,3890,-4.318747378601855,-5.285996,-4.3548193,0.45117268,0.30817232,0.60502285,1.0889326,0.89011425,-4.538125,0.14614534,fit,,3.2
North Delaware,sl,NT_curated,75,4143,3868,-5.286835859063883,-5.248298,-5.480629,0.8457916,0.62982935,1.0859592,0.9844956,0.85662585,-5.853914,0.12231124,fit,,2.5
Lower Far Northeast,sl,NT_curated,47,732,4069,-7.5956828567954995,-5.558707,-7.384446,0.57771623,0.4433472,0.7254356,1.2685668,0.56021124,-7.460449,0.10042658,fit,,2.6
Central,sl,NT_curated,143,13562,8766,-5.74552981957837,-6.161792,-5.961122,1.0235386,0.8880858,1.1392236,1.1007255,0.91671866,-5.478396,0.08368743,fit,,2.8
University Southwest,sl,NT_curated,83,5451,2433,-5.461934002835701,-5.9815097,-5.4520564,1.1100625,0.960709,1.2791471,1.6161398,1.0186447,-5.1282806,0.12184163,fit,,2.6
Upper Northwest,sl,NT_curated,79,5116,4205,-4.926067481266416,-4.928407,-5.062337,0.9828599,0.7200031,1.2469147,0.84988105,0.9490743,-5.8095694,0.1473943,fit,,2.4
Upper North,sl,NT_curated,115,9639,6084,-4.524538213642824,-4.9083524,-4.637941,0.37587884,0.24038866,0.5418495,0.84713256,0.84488136,-4.931833,0.089664906,fit,,2.4
South,sl,NT_curated,111,13714,9285,-4.723396218448444,-4.9146123,-4.6133513,0.830401,0.69768524,0.9618445,0.8414874,0.6203493,-5.2570186,0.08170179,fit,,2.5
North,sl,NT_curated,113,15840,5195,-4.277365313861428,-5.277833,-4.2666693,0.6678766,0.5255544,0.8237263,0.7797919,0.63139576,-4.5415945,0.06975015,fit,,2.6
Lower South,sl,NT_curated,21,195,501,-8.479697279016099,-9.071487,-9.241256,0.7451944,0.495734,1.0495975,2.3654008,1.303956,-6.727708,0.56203043,fit,,2.3
Lower Northeast,sl,NT_curated,75,4884,3801,-4.985634774405554,-5.056117,-5.019136,0.61051524,0.39695024,0.90041137,0.7176222,0.8303755,-5.40614,0.11770014,fit,,1.7
Central Northeast,sl,NT_curated,54,1672,4038,-6.1225429277868795,-5.091006,-6.317149,0.51081246,0.32592282,0.69547004,0.9557638,0.7764562,-6.624883,0.12446327,fit,,2.7
West,sl,NT_curated,106,8924,5013,-4.425345710312049,-4.9076357,-4.396447,0.59583265,0.47179875,0.73009646,0.6809791,0.45704675,-4.8627353,0.07732104,fit,,2.4
Upper Far Northeast,sl,NT_curated,36,656,4154,-8.199418708145252,-6.2481008,-8.14968,0.5332273,0.36214414,0.7123644,1.284467,0.7006424,-7.852669,0.12795274,fit,,2.6
Lower Southwest,sl,NT_curated,40,3292,2112,-6.066983875196446,-5.7752476,-5.442667,1.0547671,0.87493384,1.2434717,1.823731,0.86845344,-5.3523593,0.144918,fit,,2.8
West Park,sl,NT_curated,42,2519,1827,-5.685143333325198,-5.684559,-5.5380006,0.8914271,0.6616968,1.1193025,1.3515422,0.97919923,-5.5410724,0.15559274,fit,,2.7
Lower North,sl,NT_curated,84,14303,3976,-4.452474328988446,-5.4799438,-4.29687,1.0283476,0.8940299,1.1778893,0.9006316,0.57118315,-4.5136914,0.064793944,fit,,2.6
Lower Northwest,sl,NT_curated,47,1479,2741,-6.104204228585007,-5.402674,-6.1416144,0.80244714,0.53878933,1.1102989,0.8477344,0.85324883,-6.372266,0.14615624,fit,,2.0
