X,Y,T,A
486389.98296521616,4418399.281168299,1.0,1.0
486341.942266427,4419003.89533049,2.0,2.0
486058.41559969133,4419142.104233997,9.0,9.0
486058.41559969133,4419142.104233997,10.0,10.0
486926.06820729707,4419394.729434761,4.0,4.0
486054.0317988877,4418575.512392739,11.0,11.0
486879.64684555435,4419079.30728526,11.0,11.0
486400.871684265,4418463.440880642,11.0,11.0
486343.9316469266,4419211.029844895,5.0,5.0
486634.14683337364,4419311.78504466,5.0,5.0
486333.4690922071,4418351.674825982,5.0,5.0
486926.06820729707,4419394.729434761,12.0,12.0
486737.14808179426,4419083.001687668,6.0,6.0
486926.06820729707,4419394.729434761,12.0,12.0
486285.7546554713,4418866.3760623215,14.0,14.0
486451.5329323405,4418883.711708928,20.0,20.0
486338.76947854675,4418350.881028177,15.0,15.0
486269.8665577998,4418749.140990346,15.0,15.0
487002.43987755914,4418543.489166529,15.0,15.0
486081.3849758737,4419278.1241093725,15.0,15.0
486877.47908064025,4419065.1257962305,15.0,15.0
486678.4440522974,4419268.298271732,20.0,20.0
486682.5013191393,4419267.596566976,20.0,20.0
486628.0477985892,4418721.35254203,21.0,21.0
486089.0169606664,4419335.195190398,21.0,21.0
486108.239498906,4419277.94190961,21.0,21.0
486356.65640438185,4419371.676183079,21.0,21.0
486081.3849758737,4419278.1241093725,23.0,23.0
486779.9469893256,4419354.121896485,23.0,23.0
486698.3446892134,4418800.718900757,24.0,24.0
486095.20869236224,4419373.330662487,19.0,19.0
486065.76651546115,4419196.606822267,20.0,20.0
486148.21354910464,4418569.103794806,27.0,27.0
486557.82111290324,4418570.487116114,28.0,28.0
486372.3298232146,4419367.048685012,30.0,30.0
486898.9970845725,4419213.876425025,30.0,30.0
486548.9007500427,4418805.8672188055,32.0,32.0
486361.60108679207,4419370.834546486,35.0,35.0
486359.2048992641,4419386.464126195,36.0,36.0
486548.9007500427,4418805.8672188055,33.0,33.0
486785.7172526734,4418827.858352342,33.0,33.0
486734.75951828586,4419091.893248206,34.0,34.0
486608.5389599544,4418966.854675768,40.0,40.0
486058.46638578427,4419154.003076934,47.0,47.0
486620.2781761869,4419106.950006071,49.0,49.0
487111.31175895117,4419169.545708158,44.0,44.0
487002.43987755914,4418543.489166529,53.0,53.0
486061.14534597134,4418880.287952601,59.0,59.0
486195.689128987,4418613.89469901,59.0,59.0
487071.14407907624,4418387.988454701,60.0,60.0
486055.362443041,4419226.032357057,55.0,55.0
486328.08382563543,4418754.544303721,55.0,55.0
486442.82821382995,4418274.836179046,55.0,55.0
