NAME,LISTNAME,MAPNAME,Shape_Leng,Shape_Area,n_events,area_km2,rate_per_km2
BRIDESBURG,Bridesburg,Bridesburg,27814.5465208,44586263.6032,143,4.13896210918782,34.54972435784405
BUSTLETON,Bustleton,Bustleton,48868.4583648,114050423.594,121,10.587635289537827,11.42842539349331
CEDARBROOK,Cedarbrook,Cedarbrook,20021.4158021,24871744.631499995,70,2.3089168560168627,30.317245862528697
CHESTNUT_HILL,Chestnut Hill,Chestnut Hill,56394.2971946,79664975.1899,35,7.39117172882546,4.73537908252091
EAST_FALLS,East Falls,East Falls,27400.7764171,40576887.8464,93,3.8708267434969015,24.025875132810487
MOUNT_AIRY_EAST,"Mount Airy, East",East Mount Airy,28845.549808,43152469.5661,274,4.005955781808362,68.39815887241555
GRAYS_FERRY,Grays Ferry,Grays Ferry,25521.5723562,31311634.9529,489,2.9094454297371546,168.0732675038271
OLNEY,Olney,Olney,32197.2052706,50308402.6667,1411,4.669931584285614,302.14575407229415
PENNYPACK_PARK,Pennypack Park,Pennypack Park,87084.2855886,60140755.755399995,30,5.583011142093284,5.373444407770223
SOMERTON,Somerton,Somerton,55054.575496,129254596.792,138,11.99914060498001,11.500823645880589
MOUNT_AIRY_WEST,"Mount Airy, West",West Mount Airy,37723.3789332,53743368.55929999,118,4.866157678333603,24.249111475649645
WEST_OAK_LANE,West Oak Lane,West Oak Lane,30804.2062001,52596735.8648,733,4.8827400197219415,150.12062838474498
WISSAHICKON_PARK,Wissahickon Park,Wissahickon Park,95219.1927059,63483783.9789,13,5.362867074652397,2.4240764909957453
RIVERFRONT,Riverfront,Riverfront,47425.5088329,62838389.877900004,86,8.099200999986374,10.618331363815354
BYBERRY,Byberry,Byberry,33932.9472042,46168309.60059999,12,4.2859424058455415,2.799850969446849
WEST_TORRESDALE,West Torresdale,West Torresdale,10730.0049215,5820666.51407,0,0.5403454718016006,0.0
MECHANICSVILLE,Mechanicsville,Mechanicsville,5941.33261823,1646440.4726,0,0.15284378876410698,0.0
PARKWOOD_MANOR,Parkwood Manor,Parkwood Manor,36872.9348753,47006036.32230001,54,4.363697638715467,12.374826230145466
FRANKLIN_MILLS,Franklin Mills,Franklin Mills,18142.2281448,14847439.2465,8,1.3783237461968558,5.804151616827342
NORTHEAST_AIRPORT,Northeast Phila Airport,Northeast Phila Airport,36657.1016715,81858025.4635,13,7.599100215194656,1.7107288536616565
MODENA,Modena,Modena,20886.7062751,23628846.5994,46,2.193520983922577,20.970850216230996
MORRELL_PARK,Morrell Park,Morrell Park,22335.0658962,25924042.0297,61,2.4065823855416384,25.34714804133789
MILLBROOK,Millbrook,Millbrook,15957.8199402,12626016.9653,3,1.1721013456685314,2.559505635827839
