dist_name,n_events,prop_excitation_mean,alpha_mean,alpha_p_pos,a_0_mean,w_mean_pop_density,w_mean_med_inc_avg,w_mean_lep_density,w_mean_edu_hs_avg,w_mean_ndvi_mean_4yr,w_mean_RLD,w_mean_RMD,w_mean_RHD,w_mean_use_com,w_mean_use_civ,w_mean_I,w_mean_T,w_mean_GW,w_mean_vac_area,w_mean_landcare_area,w_mean_alloc_avg_d_cnt,w_mean_alloc_avg_s_cnt,w_mean_unique_device_ratio_aw,w_mean_reporting_rate,w_mean_betweenness_avg_w,w_mean_pagerank_avg_w,beta_mean,gamma_mean,loglik_mean,sigmax_2_mean,status,error,runtime_sec
River Wards,10767,9.222258813679218e-05,0.19975927472114563,1.0,-0.37122946977615356,0.14747782051563263,0.05852549150586128,-0.007171628996729851,-0.06302455067634583,-0.1962820291519165,0.5888962745666504,0.1767452508211136,0.4290449321269989,-0.1278863549232483,-1.0449086427688599,-0.06932727247476578,0.053133103996515274,0.23259121179580688,0.07418154180049896,-0.9898267388343811,1.2753095626831055,-0.8873979449272156,-0.15445061028003693,0.33136260509490967,-0.19709482789039612,-0.0721588283777237,0.0006813802174292505,1.200766682624817,25790.02734375,0.2062675803899765,fit,,42.9
North Delaware,4163,0.6970804333686829,0.9942260980606079,1.0,-0.408700555562973,-0.02688198909163475,-0.24441753327846527,0.020260576158761978,0.07812130451202393,-0.0792417824268341,0.13008515536785126,0.0064142863266170025,-0.3037465214729309,-0.0023091728799045086,-0.1882038563489914,-0.02971755340695381,0.247343972325325,-0.008740024641156197,0.656790018081665,0.6355152726173401,-0.7096080780029297,0.5094531178474426,0.18159456551074982,0.3546305298805237,0.12036211043596268,0.11929532885551453,20.88921356201172,6.285781383514404,16014.5576171875,6.193554872879758e-05,fit,,22.0
Lower Far Northeast,719,0.15287144482135773,0.9626429677009583,1.0,-0.3017328083515167,0.5523635149002075,-0.15919776260852814,-0.2669034004211426,0.3422986567020416,0.09596630930900574,-0.07653918862342834,-0.0936369076371193,-0.0680587887763977,0.05555851384997368,-0.03589583560824394,0.0379219576716423,-0.20491747558116913,-0.20586688816547394,0.21418775618076324,0.19424203038215637,-0.3026973605155945,0.11173321306705475,0.1593220978975296,-0.1403011977672577,-0.07832504063844681,-0.13956724107265472,0.025680478662252426,0.01915144734084606,1129.74169921875,0.0006993587594479322,fit,,9.3
Central,13596,7.450061821145937e-05,0.20323914289474487,1.0,-1.3045077323913574,0.14031259715557098,-0.10124217718839645,0.14690521359443665,0.24281515181064606,-0.039917007088661194,-0.8156469464302063,-0.1836145669221878,-0.01346046756953001,-0.33586838841438293,-3.517819404602051,-0.4271922707557678,0.9720838665962219,-0.6789363026618958,0.5396026968955994,-2.8035731315612793,1.0793553590774536,-1.2242780923843384,-0.17342688143253326,0.03755360469222069,-0.14170217514038086,-0.06817665696144104,0.0005155816907063127,1.1923828125,30705.9609375,0.20687434077262878,fit,,44.2
University Southwest,5469,0.00018377437663730234,0.20047271251678467,1.0,-1.4494757652282715,-0.15042971074581146,-0.11580483615398407,0.37245407700538635,0.2107543647289276,0.3032330572605133,-0.916676938533783,0.01414612028747797,-0.2596077024936676,-0.762428879737854,-1.1428766250610352,-1.6500729322433472,0.4396432638168335,1.4528586864471436,0.03368375077843666,-0.22166457772254944,0.688204824924469,-0.8181108832359314,0.09540677070617676,0.1070047989487648,0.24642634391784668,0.10920152813196182,0.001290536834858358,1.2002516984939575,8435.19921875,0.20852169394493103,fit,,16.8
Upper Northwest,5127,0.00019148463616147637,0.20264920592308044,1.0,-0.07117635011672974,-0.07700774818658829,-0.16081373393535614,-1.607515811920166,0.135367751121521,-0.11597944051027298,0.2287757247686386,0.14204615354537964,-0.25989240407943726,-1.100535273551941,-0.07969257980585098,0.6262492537498474,-2.0861446857452393,0.597730815410614,0.0892692506313324,-0.012607721611857414,2.184955596923828,-0.6785134077072144,-0.11002618819475174,0.16568897664546967,-0.1226559728384018,-0.1291971653699875,0.0015028518391773105,1.1991511583328247,9129.8984375,0.2015928328037262,fit,,15.8
Upper North,9600,0.00010295039101038128,0.19984011352062225,1.0,0.1035873144865036,0.07975709438323975,0.16181667149066925,-0.06118058040738106,-0.17953680455684662,0.6420588493347168,-1.3442500829696655,-0.04822096973657608,-0.37341663241386414,0.02031567506492138,-3.0313222408294678,0.20433638989925385,1.3620307445526123,-1.1902265548706055,-0.04872883856296539,-0.15816912055015564,-2.934810161590576,2.687659740447998,0.2848506271839142,-0.03806402161717415,0.1218988448381424,0.018337519839406013,0.0007612124900333583,1.2057228088378906,20394.103515625,0.20693403482437134,fit,,25.9
South,13742,7.092833402566612e-05,0.19731447100639343,1.0,-0.8631688356399536,0.047196485102176666,-0.1595766395330429,-0.037627510726451874,-0.20741039514541626,0.029178805649280548,1.2404963970184326,0.1484115570783615,-0.10004857182502747,0.23113521933555603,-1.278550386428833,-0.219492569565773,-0.2295798361301422,-0.5284172296524048,1.0727791786193848,0.08764174580574036,0.4781436324119568,-0.9249522089958191,-0.08190099895000458,0.1183355301618576,0.069298155605793,0.053869832307100296,0.0005160672008059919,1.2075756788253784,32960.375,0.2115587741136551,fit,,44.4
North,15737,6.349192699417472e-05,0.19617746770381927,1.0,-0.7827569842338562,0.09400276094675064,0.10271433740854263,0.014791185967624187,-0.08920074999332428,-0.08931805938482285,-1.399547815322876,-0.34593650698661804,-0.07159297168254852,-0.38892802596092224,-1.3186652660369873,-0.8924785256385803,0.9662727117538452,-0.5385305881500244,-0.06899262964725494,0.06785349547863007,2.152254819869995,-2.575052261352539,-0.1414501965045929,0.08119387924671173,-0.09395948797464371,-0.19742053747177124,0.0004781970346812159,1.2036449909210205,35319.80859375,0.20856019854545593,fit,,54.7
Lower South,211,0.40126341581344604,0.5409722328186035,1.0,-0.784593403339386,-0.32889559864997864,-0.8898001909255981,-0.39126554131507874,0.9620327949523926,0.09462755918502808,0.5118940472602844,0.6125244498252869,-0.006593760568648577,-0.4669022262096405,-0.0781305581331253,0.3406227231025696,-1.1181697845458984,-0.02072661556303501,-0.07754413783550262,0.1435728818178177,-0.1510838121175766,0.5520110130310059,0.010507898405194283,-0.08185623586177826,-0.6081231832504272,-0.16220329701900482,4.40191125869751,1.4251545667648315,-19.107696533203125,4.5091779611539096e-05,fit,,8.9
